DATE,PROGRESS
26-05-26,"Completed comprehensive brand synchronization for the Services ecosystem (6+ specialized routes) and overhauled the admin submissions dashboard with isolated data governance, multi-column sorting, and deep-inspection modals. Executed initial security audit hardening with secure headers, server-side input sanitization, and migration from deprecated 'middleware' to the modern 'proxy' convention. Optimized hero section typography and navigation structure, relocating admin access to the 'Company' sector. Promoted application to v1.1.186."
27-05-26,"Implemented Advanced Hero Animation Engine with slide-specific movement paths and layered z-index hierarchy. Executed cinematic 'Full-Fill' visual overhaul for Cloud & Ecosystem sections with soft-gradient transitions and intelligent fit reversions. Deployed a comprehensive Module Reordering system in the admin panel with instant site-wide sync. Resolved critical runtime TypeErrors and enhanced Learning Admin with natural tag typing and redundant request prevention. Promoted application to v1.1.227 following a full security and route audit."
28-06-26,"Executed brand-wide icon standardization across all product, cloud, and module pages. Replaced letter placeholder logos with actual brand images (Tally-Software.png, AWS.png, hrms.png, tally on cloud.png, customization icon.png, tallydrive logo.png, brand-nosky) in hero headers of 10+ routes. Applied dark navy-to-blue gradient backgrounds to navbar (90deg left-to-right) and footer (0deg bottom-to-up). Replaced Quick Access Hub SVG icons with image assets. Changed 'Free Demo' â†’ 'Get Demo' across 8 product pages. Changed hero CTA from 'Why Choose Us' â†’ 'View Solutions' linked to quick-access-hub. Updated OTU HRplus partner logo and linked to otuhrplus.com. Added 'msme'/'smarter' hero word highlights. Fixed hero title/subtext vertical gap and mobile button wrapping. Resolved TypeScript build error in partners API route (revalidateTag arg). Synchronized bootstrap.mjs seed data with current component defaults. Promoted to v1.1.38x."
28-05-26,"Reconfigured the Productbar Learning menu with specialized segments for Video Learning and Tally Capabilities. Executed a comprehensive 10% vertical compaction of all primary contact forms for mobile devices. Overhauled the Tutorial Hub with a premium redesign, implementing optimized typography, eliminating redundant labels, and achieving maximum vertical efficiency for the resource gallery. Documented all changes and promoted application to v1.1.260."
29-05-26,"Executed v1.1.306 finalization: Integrated 'Ask Sara' AI Assistant into Search API/Semantic Index and added virtual '/ask-sara' sitemap route with secure redirection. Overhauled data submission forms to the new Deep Blue theme, removing all legacy purple elements. Corrected Partner 2 identity to 'Mr. Pranit Sawant' across all layers and refined display precision on the About page. Implemented advanced chat input focus management with autofocus and retention for a seamless UX. Verified all changes via a successful production build."
30-05-26,"Hardened 'Ask Sara' voice engine for mobile reliability. Implemented Gesture-Atomic handshake for Android Chrome and two-stage getUserMedia initialization. Re-engineered mobile positioning (left-0 right-0 px-4) to eliminate right-side overflow and implemented reactive volume analysis (drawVolumeMeter). Added secure context (HTTPS) enforcement alerts and optimized modal geometry (max-h) for PC/Mobile. Promoted application to v1.1.324."
01-06-26,"Executed total voice engine reimplementation (v1.1.330) using 'recorder-js' for high-fidelity WAV recording and 100% Safari/iOS compatibility. Resolved critical React 'Rendered more hooks' crash by stabilizing hook lifecycle and enforcing Client Component directives. Implemented visual status badges (Mic Ready/Locked/Insecure) and Permissions API tracking. Synchronized transcription API for WAV processing and deployed 'Strict-to-Simple' hardware fallbacks for Android."
17-06-26,"Codified the entire 'Find Solution' consultation flow into a master technical document (CONSULTATION_FLOW.md). Documented 4 phases of branching logic, Admin/Submissions dashboard synchronization, the Deep Blue theme architecture, and Lead Implementation Protocols. Formalized AI analysis rules for industry-specific TDL recommendations and promoted version to v1.1.380."
18-06-26,"Integrated AI-driven Strategic Insights into Solution Finder, optimized mobile consultation UI (buttons/padding), hardened phone number validation across all forms, and resolved admin modal clipping/stability issues."
20-06-26,"Initiated UI modernization project (Squarify Cards). Applied compact squared styling and enhanced descriptive content for all Support Service offerings in services/page.tsx."
22-06-26,"Executed product independence initiative (Silver page cleanup: removed upgradePath array, reworded all cross-edition references). Reverted TallyPrime Modules page to original state. Redesigned ModuleCard to square/cute aspect-square icon-card layout. Fully remade Cloud page with richer hero, color-coded stats, tighter cards, cleaned cross-product links from dark panel and help menu, and micro-interaction polish on all interactive elements."
23-06-26,"Executed major product structure expansion: Created 5 new routes (/colour, /cloud/aws, /cloud/windows, /cloud/nosky, /products/tallydrive). Fully rewrote Gold and Server as independent product pages. Remade Cloud hub as solution-based navigation hub with 3 color-coded cards. Added TallyDrive to product comparison and nav tree. Updated sitemap with all new routes. Added react-colorful dependency for interactive colour tool. Fixed HomeHero JSON parse error for fetch fallback, freed single-layout image from container wrapper, replaced 'Navi Mumbai' with 'Mumbai' in hero title.
24-06-26,"Two workstreams: (A) Ask Sara UI - removed pulsing dot, added lightning-glow animation to SVG. (B) Performance optimization - consolidated proxy.ts with rate limiting (60 req/min); hardened Chat API with 25s timeout, 10s response cache, and smart model fallback (70B to 8B); added 5-min AI result cache to Search API; set Cache-Control on Settings (5 min) and Content (2 min); added CDN cache headers (1 year immutable for static assets); tuned MongoDB pool (10 to 25); fixed NewsFeed JSON parse by creating public /api/news; fixed search no exact match warning. Build verified (81 pages)."
26-06-26,"Five workstreams completed: (A) Performance optimization - eliminated 4 redundant API calls: removed Navbar prefetches for /api/modules, home_hero, and home_stats (all server-fetched via page.tsx props); added getNews() server-side fetch in layout.tsx passed as initialData to NewsFeed, bypassing client-side fetch entirely. (B) HRMS feature launch - replaced 'Our Services' card in QuickAccessHub with 'HRMS' linking to new /hrms route; created full product page following TallyPrime Silver format with breadcrumb, sticky nav, 6-feature grid, FAQ accordion, pricing table, sidebar inquiry form, and OTU HRplus reference section; added HRMS + OTU HRplus to product-nav.ts under Products dropdown. (C) HomeHero complete redesign - rewrote component with cleaner 3-slide structure using provided code template; eliminated all external Unsplash/Google AI image URLs and MongoDB data dependency (hardcoded DEFAULT_HERO only); integrated tickmark features via CheckCircle2 lucide-react icons; added typing animation with brand-color word highlights; first slide image rendered outside card container as standalone asset; reduced vertical padding/margins for tighter layout; fixed 'Failed to construct URL' runtime crash caused by external image sources from MongoDB initialData. (D) Hydration fix - replaced next/Image with native <img> tags in HomeHero to eliminate SSR/CSR hydration mismatch from fill/sizes handling. (E) Build failure fix - corrected 20 revalidateTag() calls across lib/mongodb-utils.ts, app/api/content/route.ts, and app/api/admin/partners/route.ts that passed invalid second 'default' argument. Removed experimental reactCompiler from next.config.js. Build verified." 
30-06-26,"Seven workstreams completed across 21 files: (A) HomeHero full color rebrand + layout fixes - applied final palette (#316852 green, #4B6780 slate blue, #F7F6F2 off-white, #18181B soft black, #4A4A4A dark grey, #E5E2D9 borders); changed bg from blue gradient to #F7F6F2; updated ShapeGrid colors; replaced badge, title, description, feature, button, cursor, arrow, logo, border colors throughout; fixed hero height to h-screen max-h-screen; adjusted spacing (badge size, title-description gap, feature grid layout); restored single-layout image without wrapper; normalized image borders to #E5E2D9. (B) Caching fully disabled across codebase - lib/client-api.ts (fetchWithCache->direct fetch), lib/mongodb-utils.ts (removed 7 unstable_cache wrappers + 16 revalidateTag calls), proxy.ts (Cache-Control header disabled), 6 API routes (cache headers/revalidation removed), next.config.js (CDN cache headers commented). (C) React.memo/useCallback/useMemo removed from Productbar, FAQ, CustomerReviews, CertifiedPartners. (D) Navbar white/off-white theme with #316852 active underlines, #4B6780 CTAs, added Login link. (E) SearchBar light theme with #316852 focus ring. (F) NewsFeed bar + layout.tsx loading bg updated to #316852. (G) Productbar border updated to #E5E2D9. TypeScript clean build verified."
01-07-26,"Completed global green theme rebrand across entire codebase (23 files). Replaced all blue (#00ABE4, #0371a3) with green (#316852, #1e4d3a) on all product pages (/hrms, /products/main, /products/silver, /gold, /server, /tallydrive), cloud pages (/cloud/main, /aws, /windows, /nosky), footer, and all homepage components (CertifiedPartners, QuickAccessHub, HomeStat, FAQ). Updated all shared components (Navbar, SupportButton, UnifiedContactModal, QuickSupportModal, ModuleModal, ModuleCard, CloudBackupSection, JobAccordion, JobApplicationModal). Unified cloud/product cards with consistent white bg, green top strip, and hover lift effects (+translateY, green border glow). Applied #EFEBE3 secondary color to cloud page. All blue-tinted backgrounds replaced with green tints (bg-[#f0f7f3])."
02-07-26,"Four workstreams completed across 4 files: (A) SupportButton pill-to-tab conversion - replaced two separate pill buttons (Ask Sara + WhatsApp) with a single fixed flex container at bottom-[10%] right-0, styled as vertical tabs (w-[42px], rounded-l-[8px], vertical-rl text). Added homepage-only mobile 30px right offset via usePathname() path check. Fixed invalid z-3000 to z-[3000] arbitrary value. Removed transition-all to prevent re-render shift. Added explicit left-auto and gap-[8px]. (B) HomeHero mobile height/centering/padding fixes - min-h changed from fixed 700px to responsive min-h-[20rem] sm:min-h-[26rem] md:min-h-[calc(100svh-7rem)]; content alignment items-start to items-center; mobile padding pt-12/pb-12 to pt-8/pb-8, space-y-5 to space-y-4, min-h-[350px] to min-h-[auto]. Slide arrow spacing increased on mobile (left-4/right-4). Feature text updated to Unrestricted Remote Support. (C) Overflow clipping removed site-wide - removed overflow-x: clip from html and body in globals.css (was clipping fixed-position children on hero page). Removed overflow-x-hidden class from html and body in layout.tsx (was hiding right-edge content on mobile desktop view). (D) All changes documented in daily logs/2026-07-02.md and excel logs.csv."
03-07-26,"Four workstreams completed across 9 files: (A) AI API upgrades & Reasoning sanitization - upgraded models to openai/gpt-oss-120b and qwen/qwen3-32b, implemented regex to strip internal <think>...</think> tags, and hardened chat rules. (B) Navbar logo stabilization - fixed image sizing and container layout on Navbar.tsx to eliminate Next.js hydration shifts. (C) Interactive typing pop animation - added character-by-character animations with globals.css keyframes and overhauled typewriter streaming in QuickSupportModal.tsx. (D) Layout and asset optimization - removed testimonial section on Team page, standardized mobile offset class on SupportButton.tsx, compressed TallyCertificate.png by 78%, and documented all changes in daily logs."
07-07-26,"Eight workstreams across 18+ files: (A) SearchBar mobile focus polish — dynamic pl-9/pl-4 padding, focus:placeholder:text-transparent, added right-side manual Search button. (B) Productbar hover megamenu fix — removed overflow-hidden/clip that was clipping submenus. (C) HomeHero complete visual overhaul — bg.png background, green/blue beige color scheme (#558273/#4a7a6a/#365275/#fbfaf8), QuickAccess cards integrated at hero bottom (2-col mobile/4-col desktop grid with shortDesc truncation), updated CTA colors, title font-black/text-4xl, trusted badge '1,500+ MSMEs', restored complex right-image layout (single/standard/ecosystem variants), removed external URLs. (D) page.tsx cleanup — removed QuickAccessHub import/hubData. (E) Route group import fix — fixed ../../../components/→../../components/ across 13 (site) route pages (build-blocking bug). (F) Title-description gap on desktop — reduced md:min-h-[90px]→60px on title wrapper, mobile kept at 70px. (G) Single-layout person image — added mt-24 (100px down), max-h reverted to 550px. (H) QuickAccess card image quality — Next/Image width/height 16→48px for crisp rendering. All documented."
09-07-26,"Eleven workstreams across 12 files (+3 new assets): (A) HomeHero carousel disabled — autoplay timer commented out, single-slide static mode, entry animation simplified. (B) HomeHero height reduced — md min-h from calc(100svh-7rem) to 400px, lg from 700px to 500px. Content h-[400px] fixed container. (C) HomeHero mobile image added — lg:hidden aspect-square Image below content on mobile/tablet. Nav arrows + dev button commented out. (D) Navbar height increased — h-8 lg:h-12 → h-10 lg:h-14, gradient bg applied, nav gaps reduced gap-5→gap-3. (E) SearchBar width reduced — lg:w-60→lg:w-40, icon-only button (text removed), flush to input edges with inset-y-0 rounded-r-md. py-2 added to input. (F) Productbar tracking-tighter→tracking-normal hydration fix. Gradient bg applied. (G) 6 sections regraded — HomeStat, CertifiedPartners, FAQ, CustomerReviews bg-white→linear-gradient(90deg, #F9FBF5, #F4F2EA, #EEECDF). (H) Cloud page complete remake — cardbg.png/mobilebg.png responsive bg, gradient card headers (#2d6a46→#428f81), color-coded tag pills (green/blue/purple/yellow), rounded-full icon containers (AWS text badge, SVG icons), stacked rounded-full CTA buttons, shadow-[0_12px_40px_-10px_rgba(0,0,0,0.15)], hover:-translate-y-1 lift. Why Cloud section bg unified, tallydrive detail section commented out. (I) Products page complete remake — same cardbg/mobilebg pattern, tallyprime logo.png on all 4 cards (Silver/Gold/Server/TallyDrive) in 48px rounded containers, stacked buttons (bg-[#1A4731] REQUEST QUOTE + bg-[#EAF2ED] KNOW MORE), slate-blue tag pills (bg-[#EBF2F7] text-[#4A6478]), unified shadow/hover effects. (J) Product name spacing fix — {word}→{word+"" ""} to prevent concatenated rendering. (K) 3 new assets added — cardbg.png (3.64MB), mobilebg.png (937KB), tallyprime logo.png (52KB). All documented."
13-07-26,"Complete chatbot experience overhaul across 4 files: (A) Tutorial matching engine (lib/tutorial-matcher.ts, NEW) — keyword extraction with 50+ conversational stop words, 13-group synonym expansion map (invoice↔billing↔sale, tax↔gst↔filing, bank↔reconciliation↔brs, payroll↔salary↔pf↔esi, inventory↔stock↔godown↔barcode, report↔analysis, shortcut↔keyboard, cloud↔hosting, setup↔install, backup↔restore, error↔issue↔fix, company↔firm), scoring algorithm (title phrase 50pt, keyword 10pt, synonym 4pt, tag 15pt, tag synonym 6pt, folder 8pt, description 4pt/2pt), minScore lowered 8→5, maxResults 3→4. (B) Learn from Sara complete chatbot redesign — immersive full-screen UI with fixed positioning below sticky header, benefit-driven welcome message, typing indicator (3 dots, 1.2s bounce, staggered 200ms), smooth slideUp animation (0.5s cubic-bezier(0.16,1,0.3,1)), bot/user avatars, HH:MM timestamps, tutorial suggestions on every matching response ('Related tutorials' card with thumbnail/title/folder), quick-reply chips with hover fill+scale, topic grid only at start, body scroll lock via JS, dynamic top offset re-measured at 200ms/600ms for collapsible productbar, scored topic matching (label 5pt, answer 2pt, follow-up 3pt, threshold 5), helpful fallback listing all capabilities instead of generic rejection. (C) QuickSupportModal tutorial integration — fetches tutorials on mount, calls findMatchingTutorials after AI response typing completes, renders compact suggestion cards (icon/title/folder/chevron) below AI bubble linking to /tutorials. (D) Animation softening — typing delay 900ms+10ms/char (capped 3s) up from 600ms+8ms/char, message slide 0.5s with cubic-bezier deceleration, indicator bounce 1.2s duration. All documented."
15-07-26,"Major MSME-focused copy overhaul across all 6 service subpages (TSS, TDL, WhatsApp, Mobile App Biz, Corporate Training, AMC). (A) UnifiedContactModal — responsive sizing: md padding increased (+20%), lg padding decreased (-20%) for height adjustment. (B) Footer logo — replaced SVG+text with dedicated footerlogo.png at h-11 (10% larger), rounded-xs edges. (C) Service CTA unified — all 6 service pages changed from dark bg-slate-900 rounded boxes to green bg-[#4A6E62] full-width CTAs matching capabilities page (white heading, emerald-100 desc, solid+transparent button pair). (D) Second CTA buttons standardized to 'Contact Us' across all 6 pages. (E) Bottom images changed to object-fill on all 6 service pages. (F) Mobile App Biz — complete MSME copy overhaul: hero (Total Control Over Your Business & Cash Flow), features (Zero Accountant Dependency, Spot Dead Stock, GPS Sales Tracking, 1-Click WhatsApp Reminders), analytics (Instant Sales Analysis, Live Inventory Control, Stop Bad Debts, Bank-Grade Security), CTA (Stop Waiting for Reports). (G) Tally on WhatsApp — complete MSME copy overhaul: hero (1-Click WhatsApp Invoicing Directly From Tally), features (Send Invoices in 1 Click, Polite Payment Reminders, 24/7 Customer Ledger Access, Bulk Festival & Offer Messaging), showcase (Professional Fast and 100% Automated), CTA (Stop Printing Start Collecting Faster). (H) TDL page — complete MSME copy overhaul: hero (Make Tally Work Exactly The Way You Want), features (Custom Invoice Formats, Auto-Calculated Reports, Connect Tally to Anything, Security & Error Controls), process (4 plain-language steps replacing IT jargon), CTA (Stop Managing Data in Excel). (I) TSS page — complete MSME copy overhaul: hero (Renew Your Tally Software Service), features (Connected GST & E-Invoicing, Web & Mobile Reports, CA & Branch Sync, Free Upgrades & New Features), benefits (Free Upgrades to Every New Tally Version), CTA (Don't Let Your Compliance Expire). (J) Corporate Training — features grid color unified, benefits section rewritten as 4-item checklist with Get Training Quote button. TypeScript clean across all files."
20-07-26,"Major product page restructuring across 11 files: (A) Created unified Tally Cloud Access page (app/(site)/cloud/tallycloudaccess/page.tsx, NEW, 42KB) merging AWS Cloud + Windows VM into single page with infrastructure partners (AWS, Oracle Cloud, Windows Server), 12 features, 9 FAQs, 3 pricing plans (NA), sticky navigation, sidebar quote form. (B) Product navigation restructured (lib/product-nav.ts) - Editions section (Gold, Silver, Server) + new Do More with Tally section (Tally Cloud Access, TallyDrive, HRMS, TallyCapital). Description changed from add-ons to Powerful solutions built for TallyPrime. (C) Cloud landing page updated (app/(site)/cloud/page.tsx) - replaced AWS + Windows VM cards with single Tally Cloud Access card, header changed to Tally Cloud Access and Backup Solutions. (D) Sidebar cross-sell links updated in 6 product/cloud pages from Cloud AWS to Tally Cloud Access. (E) TallyCapital refinements - removed Get a Free Loan Consultation from hero, lending partners carousel full-width with fade gradients, heading changed to Why MSMEs Prefer TallyCapital. (F) Tally Cloud Access page polish - logo changed to tally on cloud.png, removed pricing from header, removed TSS/Unlimited Users/Install Any Software features, removed Bandwidth + Integrations sections, pricing set to NA. (G) TallyPrime Server complete rewrite - hero badge Enterprise Edition, 6 new features, 4 right-choice bullets, 5 new FAQs, bottom CTA with free 10-day trial, pricing commented out/hidden, sidebar title Upgrade Your Infrastructure."
21-07-26,"Major product restructuring and content accuracy overhaul across 15+ files: (A) TallyPrime Editions page - renamed heading from TallyPrime Products to TallyPrime Editions, removed TallyDrive and TallyCapital cards, kept only Silver/Gold/Server, adjusted grid to 3 columns, card sizing refined (thinner then +10% increase, max-w-6xl). (B) Do More with Tally page created (app/(site)/do-more/page.tsx, NEW) with 4 solution cards (TallyCloud Access, TallyDrive Backup, HRMS Solution, TallyCapital) in 4-column grid. (C) Product navigation updated (lib/product-nav.ts) - Do More with Tally href changed from /products to /do-more, added Backup for TallyPrime linking to /cloud/nosky. (D) Sitemap updated with /do-more route. (E) HRMS - removed all OTU HRplus references across 3 files, renamed to HRMS Solution, removed OTU HRplus reference section and FAQ mentions. (F) Tally Cloud Access - removed 3 features (Low Internet Usage, Complete Data Safety, Automatic Backups), renamed Free Setup to Setup, removed free word from all plan features and FAQ. (G) Backup for TallyPrime (NoSky) - complete rebrand removing all NoSky references, renamed to Backup for TallyPrime, simplified feature language, mentioned incremental backups, replaced bank-level security with Military-Grade Encryption/AES-256. (H) TallyDrive - updated FAQ to mention incremental backups, replaced Bank-Level Security with AES-256. (I) Global bank-level/bank-grade removal - replaced all 11 instances across 7 files with AES-256 Encryption. (J) TallyPrime Server complete content rewrite based on official Tally FAQ - updated features 4-6 (Multi-Threaded Architecture, Data Reliability, Easy to Deploy), rewrote FAQs (100-150 users, concurrent access, client crash handling), updated hero stats, clarified product is software not physical server."
28-07-26,"Sara AI chatbot dual-mode split + TSS renewal system + FAQ ERP notice across 15 files: (A) Learn Sara vs Ask Sara split — two distinct experiences: Ask Sara (floating button, AI sales consultant, getFallbackResponse) and Learn Sara (/learn-sara, teaching assistant, AI mode 'learn', getTeachingFallbackResponse). Same matchTopic() for 7 core Tally topics. (B) AI API dual-mode — /api/chat now accepts mode param (learn/ask). LEARN_SYSTEM_PROMPT handles ANY question (Tally + non-Tally + random) playfully. SALES_SYSTEM_PROMPT unchanged. Injection attempts get mode-appropriate responses. (C) Teaching fallback — 16 regex patterns (GST, inventory, banking, payroll, reports, shortcuts, vouchers, e-invoicing, e-way bills, backup, cloud, errors) with step-by-step instructions. Price questions redirect to sales. (D) TSS Renewal system — TssRenewalForm component (3 variants: default/compact/inline), POST/GET/PATCH/DELETE API endpoints, MongoDB storage (tss_renewals collection), admin dashboard with status management. Forms placed on TSS page, TallyDrive pricing, Services page. (E) Homepage FAQ ERP notice — pinned amber IMPORTANT notice explaining ERP renewal stopped, upgrading to TallyPrime is only option. (F) Full route map (40+ routes) added to both AI system prompts with cross-references (Ask Sara→Learn Sara for teaching, Learn Sara→Ask Sara for pricing). (G) All console.log/debug removed from learn-sara/page.tsx and chat route.ts."
29-07-26,"Three workstreams across 15 files: (A) Email sending system built and then removed — created lib/mail.ts (nodemailer SMTP 587), lib/cpanel-mail.ts (PHP mailer), app/api/send-email/route.ts (POST+GET diagnostic), lib/rate-limit.ts, lib/api-security.ts. Diagnosed SMTP accepted but Gmail silently dropped (cPanel outgoing filter). cPanel API confirmed no send_email function. Then stripped all email code per user decision: deleted all 5 files, removed nodemailer dependency, reverted UnifiedContactModal.tsx endpoint to /api/contact, cleaned .env/.env.example of SMTP/CPANEL vars. (B) Admin auth rewritten — lib/admin-auth.ts converted from in-memory Map to stateless __admin_token HMAC cookies. Updated login/session/logout routes. Added Cache-Control: no-store on proxy.ts 401. (C) TypeScript build verified zero errors."
31-07-26,"Four workstreams across 16 files: (A) Vercel chunked upload system built to bypass the ~4.5 MB serverless request-body limit — lib/chunkUpload.ts (server-side handler: 3 MB/chunk, 200 chunks max, temp parts stored as sarvadnya-uploads/_chunks/{uploadId}/part-NNNNN.ext, final chunk streams+concatenates into one assembled blob via @vercel/blob, deletes temp parts + oldUrl) and lib/uploadClient.ts (client helper slicing large files into 2 MB chunks with uploadId/chunkIndex/totalChunks, onProgress). Added admin chunk endpoint /api/admin/upload/chunk (all 5 admin image uploads migrated) and public rate-limited /api/upload/chunk (career resume — resumeUrl/resumeName passed to submitApplication, server fetches blob and forwards buffer to uploadToMega). (B) Search page no-results state compacted. (C) Tally-on-WhatsApp and TDL service pages rebuilt section-for-section on the AMC template (hero abstract graphic, lucide feature cards, checklist, dark-green CTA) preserving all copy. (D) Fixed production 503s in /api/chat — corrupted Groq model names restored (llopenai/gpt-oss-120b → openai/gpt-oss-120b, ama-3.3-70b-versatile → llama-3.3-70b-versatile). TypeScript + next build clean."
01-08-26,"Eight workstreams across 10 files for the Sara AI chatbot: (A) Gemini Flash (gemini-3.5-flash-lite) became the PRIMARY AI provider with Groq rotation fallback — added callGemini() REST call (AIza key / OAuth bearer), toGeminiContents() role conversion, shared cleanContent() think-tag cleanup, 24-turn history trim, FALLBACK_MODEL changed to openai/gpt-oss-20b, temperature 0.95; GEMINI_API_KEY added to admin Settings page + .env.example. (B) New shared SaraText renderer ([[Label|/url]] buttons, **bold**, code chips, fenced code blocks) used by Ask Sara and Learn Sara, replacing duplicate inline renderers. (C) Ask Sara voice INPUT via Web Speech API (SpeechRecognition, en-IN) with mic button in input bar. (D) Learn Sara voice OUTPUT — speech-synthesis read-aloud with Summary (first 3 sentences) / Full modes, per-message 'Read aloud?' prompt, Stop button, mute/unmute toggle, header bar, fixed inset-0 z-[3200] layout, auto input refocus. (E) Tutorial matcher strict full-match mode (every meaningful keyword must appear in title/tags, capped at 2 suggestions). (F) Search API AI model upgraded to openai/gpt-oss-20b (2 call sites). (G) Sales system prompt tightened to 1-3 sentence always-end-at-a-product replies with 3-beat formula (Acknowledge-Connect-Offer) + COMMON SITUATIONS scripts, and per-mode token budgets (learn: 8192/2048 Groq, 4096 Gemini; sales: 1536/768 Groq, 1024 Gemini). (H) Local fallback getFallbackResponse() expanded to 30+ patterns (who-are-you/help, perishable goods, demo/trial, careers, about/company, news, calculator/math + widened existing patterns) with friendlier tone and more buttons. TypeScript clean, commit 07bbb22."
03-08-26,"Email system refactor across 8 files — direct inline sending to beat Vercel's 2-cron/day limit: (A) lib/email-queue.ts — replaced enqueueEmailJob() with sendEmailDirect(), which claims a unique jobKey slot in the MongoDB email_queue send ledger and calls Resend IMMEDIATELY (inline) on submission; duplicates return deduped:true and never fire a second email; processEmailQueue() kept as the atomic retry path for failed sends (backoff 30s·2^n→4h, max 5 attempts, stale-processing reset, 30-day TTL purge). (B) app/api/email/submit/route.ts — removed next/server after() background drain + enqueue call; route now sanitizes→validates→saves→sends inline and returns {ok, saved, sent, deduped, jobId}. (C) Admin Email Config — queue panel relabeled Send Ledger, Process Queue Now → Retry Failed Sends (new sends are instant, no cron). (D) vercel.json — removed the 1-min email cron (Hobby only allows 2 crons/day, so it was never a reliable path). (E) scripts/email-test.mjs updated to the direct-send contract. (F) .env.example rewritten (EMAIL_DISABLE_BACKGROUND removed, CRON_SECRET re-purposed for external schedulers). (G) AGENTS.md + PROJECT_MASTER_DOCUMENTATION.md email sections rewritten with 4 scheduling alternatives (GitHub Actions cron, Upstash QStash, heartbeat/uptime monitors, manual admin retry). TypeScript clean."
